doc,tags,eng_doc,eng_tags
"광고 전화에서의 다양한 대화

신제품 출시 안내
할인 이벤트 안내
구매 방법 안내","신제품 출시 안내,할인 이벤트 안내,구매 방법 안내","Various conversations from advertising calls

New product launch announcement
Discount event announcement
Purchase method announcement","New product launch announcement, discount event announcement, purchase method announcement"
"상품 문의

상품 가격 문의
배송 일정 확인","상품 가격,배송 일정","Product inquiry

Product price inquiry
Confirm delivery schedule","Product price, delivery schedule"
"고객 불만 상담

상품 불만 제기
환불 요청","상품 불만,환불 요청","Customer dissatisfaction counseling

Product dissatisfaction raised
Request for refund","Product dissatisfaction, request for refund"
"회의

프로젝트 진행 상황 보고
다음 단계 계획 수립","프로젝트 진행 상황,다음 단계 계획","Meeting

Report on project progress
Establish next step plan","Project progress, next step plan"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","보험 가입,보험 상담,보험 청구","Various conversations on the counseling phone

Counseling Content 1
Counseling Content 2
Counseling Content 3","Insurance enrollment, insurance counseling, insurance claim"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상품 문의,배송 문의,환불 문의","Various conversations on the counseling phone

Counseling content 1
Counseling content 2
Counseling content 3","Product inquiry, delivery inquiry, refund inquiry"
"친구와 영화 예매

영화 제목: 어벤져스
상영 시간: 3시
상영관: 5관","영화 예매,어벤져스,상영 시간","Booking a movie with friends

Movie title: Avengers
Screening time: 3 o'clock
Screening room: 5th room","Movie booking, Avengers, screening time"
"회사에서의 업무통화

프로젝트 진행 상황 보고
다음 회의 일정 조율
업무 분담","프로젝트,회의,업무분담","Business calls at the company

Report on the progress of the project
Adjust the schedule of the next meeting
Division of work","Project, meeting, division of work"
"부동산 중개사와의 통화

아파트 매매 문의
매물 정보 제공
가격 협상","아파트 매매,매물 정보,가격 협상","Conversation with a real estate agent

Inquiry about apartment sale
Provide property information
Price negotiation","Apartment sale, property information, price negotiation"
"광고 전화

신용카드 발급 광고",신용카드 발급,"Advertisement call

Credit card issuance advertisement",Credit card issuance
"치과병원 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약","Dental Clinic Consultation

Request for customer protection measures
Consultation recording guidance
Appointment and inquiry for treatment","Customer protection measures, consultation recording, appointment for treatment"
"회사 회의

Q1 실적 발표
Q2 계획 논의
Q3 인사 이슈","실적 발표,계획 논의,인사 이슈","Company meeting

Q1 Presentation of results
Q2 Discussion of plans
Q3 Personnel issues","Presentation of results, Discussion of plans, Personnel issues"
"상담 전화

상담 내용은 비공개",비공개,"Counseling call

The content of the consultation is confidential",Confidential
"영화 예매

어벤져스: 엔드게임
4DX
4월 30일 19시 30분
2명","어벤져스: 엔드게임,4DX,영화 예매","Movie ticket reservation

Avengers: Endgame
4DX
April 30th, 7:30 PM
2 people","Avengers: Endgame, 4DX, movie ticket reservation"
"압구정 로데오에서 친구와 저녁약속

사주카페에서 만나기로 함
예약 필수
예산은 5만원","사주카페,예약 필수,예산 5만원","Dinner with friends at Apgujeong Rodeo

Meeting at Saju Cafe
Reservation required
Budget is 50,000 won","Saju Cafe, reservation required, budget 50,000 won"
"가족과 주말 계획 논의

휴식과 산책을 계획함
식사는 집에서 해결하기로 함","휴식,산책,집에서 식사","Discussing weekend plans with family

Planning to rest and take a walk
Agreed to solve meals at home","Rest, walk, meals at home"
"회사 프로젝트 회의

프로젝트 일정과 역할 분담 논의","프로젝트 일정,역할 분담","Company project meeting

Discussion of project schedule and role allocation","Project schedule, role allocation"
"영어 회화 수업

영어 회화 수업 예약 및 수업 내용 논의","영어 회화 수업 예약,수업 내용 논의","English Conversation Class

Reservation and discussion of English conversation class content","Reservation of English conversation class, discussion of class content"
"가족 선물 아이디어 논의

아빠 생일 선물
엄마 생일 선물
동생 취미 선물","생일 선물,취미 선물","Discussing family gift ideas

Dad's birthday gift
Mom's birthday gift
Brother's hobby gift","Birthday gift, hobby gift"
"회사 프로젝트 미팅

프로젝트 진행 상황 보고
다음 단계 계획 수립
팀원 역할 분담","프로젝트 진행,다음 계획,팀원 역할","Company project meeting

Report on project progress
Establish next step plan
Division of team member roles","Project progress, next plan, team member roles"
"영어 회화 수업

일상 대화 연습
문법 학습","일상 대화,문법 학습","English conversation class

Practice everyday conversations
Grammar learning","Everyday conversation, grammar learning"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,고객 서비스,문의 사항","Various conversations on the counseling phone

Counseling Content 1
Counseling Content 2
Counseling Content 3","Counseling Content, Customer Service, Inquiry"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,진료 예약,보험 청구","Various conversations on the counseling phone

Counseling Content 1
Counseling Content 2
Counseling Content 3","Counseling Content, Medical Reservation, Insurance Claim"
"친구와 저녁약속

맛집 추천
예약 방법
금요일 저녁","맛집 추천,예약 방법,음식 종류","Dinner with friends

Recommend a restaurant
Reservation method
Friday evening","Recommend a restaurant, reservation method, types of food"
"압구정 로데오에서 친구와 저녁약속

사주카페에서 만나기로 함
예약 필수
비용은 5만원 이내로","사주카페,예약 필수,5만원","Dinner with friends at Apgujeong Rodeo

Meeting at Saju Cafe
Reservation required
Cost within 50,000 won","Saju Cafe, reservation required, 50,000 won"
"가족과의 여행 계획

가족과 함께 여행을 가기로 함
일정은 5월 1일부터 5월 5일까지
여행지는 제주도로 결정
숙소는 에어비앤비로 예약할 예정","가족 여행,제주도,숙소 예약","Travel plan with family

Decided to travel with family
Schedule is from May 1st to May 5th
Travel destination is Jeju Island
Accommodation will be booked through Airbnb","Family trip, Jeju Island, accommodation reservation"
"영어 회화 수업

영어 회화 수업 예약
매주 월요일 7시부터 8시까지
강사는 미국인으로 영어만 사용","영어 회화,수업 예약,미국인 강사","English Conversation Class

Reservation for English Conversation Class
From 7 to 8 pm every Monday
Instructor is American and only English is used","English Conversation, Class Reservation, American Instructor"
"친구의 생일 파티

친구의 생일 파티
장소는 카페로 결정
날짜는 4월 15일
시간은 오후 3시부터 5시까지","생일 파티,카페,날짜","Friend's birthday party

Friend's birthday party
The place has been decided to be a cafe
The date is April 15th
Time is from 3pm to 5pm","Birthday party, cafe, date"
"은행 상담

적금 상품 문의
대출 상품 문의","적금,대출","Bank consultation

Inquiry about savings products
Inquiry about loan products","Savings, loan"
"여행사 상담

해외여행 상품 문의
항공권 예약 문의","해외여행,항공권","Travel agency consultation

Inquiry about overseas travel products
Inquiry about air ticket reservation","Overseas travel, air tickets"
"보험 상담

보험 상품 문의
보험 가입 문의","보험,보험가입","Insurance consultation

Inquiry about insurance products
Inquiry about insurance enrollment","Insurance, insurance enrollment"
"은행 월급 이체 확인

월급이 제 시간에 입금되었는지 확인","은행,월급,이체","Checking bank salary transfer

Check if the salary has been deposited at my time","Bank, salary, transfer"
"은행 보안문제 상담

계좌 보안문제 해결 방법 상담","은행,보안문제,상담","Bank security issue consultation

Consultation on how to solve account security issues","Bank, security issue, consultation"
"은행 대출 상담

대출 상환 방법 상담","은행,대출,상환","Bank loan consultation

Consultation on loan repayment methods","Bank, loan, repayment"
"예약 확인

예약이 제대로 되었는지 확인","호텔,예약,확인","Confirm reservation

Confirm that the reservation is correct","Hotel, reservation, confirmation"
"예약 취소

예약 취소 방법 상담","호텔,예약,취소","Reservation cancellation

Consultation on cancellation methods","Hotel, reservation, cancellation"
"은행과 보험 문의

은행 보호조치 요청
보험 상담 녹음 안내
보험 가입 및 문의","은행 보호조치,보험 상담 녹음,보험 가입","Inquiry about bank and insurance

Request for bank protection
Insurance consultation recording guidance
Insurance enrollment and inquiry","Bank protection, insurance consultation recording, insurance enrollment"
"은행 보호조치 및 진료예약 문의

은행 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","은행 보호조치,상담 녹음,진료 예약","Bank protection measures and medical appointment inquiries

Request for bank protection measures
Counseling recording guidance
Appointment and inquiry for medical treatment","Bank protection measures, counseling recording, medical appointment"
"신용카드 결제 내역 확인

최근 결제 내역 확인
카드 한도 조정 문의","신용카드 결제 내역,카드 한도 조정","Check Credit Card Payment History

Check recent payment history
Inquiry about card limit adjustment","Credit card payment history, card limit adjustment"
"영화 예매 및 취소

영화 예매
영화 취소
영화 추천","영화 예매,영화 취소,영화 추천","Movie reservation and cancellation

Movie reservation
Movie cancellation
Movie recommendation","Movie reservation, Movie cancellation, Movie recommendation"
"여행 계획

여행 일정
숙소 예약
항공권 예매","여행 일정,숙소 예약,항공권 예매","Travel plan

Travel schedule
Accommodation reservation
Air ticket reservation","Travel schedule, accommodation reservation, air ticket reservation"
"의사와의 진료 상담

증상 상세 설명
진단 결과 안내
약 처방","진료,증상,약 처방","Consultation with a doctor

Detailed description of symptoms
Diagnosis results guidance
Prescription","Treatment, symptoms, prescription"
"광고 전화

신제품 소개
할인 이벤트 안내
구매 유도","신제품,할인 이벤트,구매 유도","Advertising call

Introducing new products
Discount event guidance
Purchase inducement","New products, discount events, purchase inducement"
"회사 프로젝트 회의

프로젝트 일정 조율
업무 분담
회의록 작성","프로젝트 일정,업무 분담,회의록 작성","Company project meeting

Adjusting project schedule
Task allocation
Writing minutes","Project schedule, task allocation, writing minutes"
"주식 투자 상담

주식 종목 추천
투자 전략 안내
수익률 예측","주식 종목 추천,투자 전략 안내,수익률 예측","Stock Investment Consultation

Stock item recommendation
Investment strategy guidance
Profitability prediction","Stock item recommendation, Investment strategy guidance, Profitability prediction"
"여행 계획 상담

여행지 추천
숙소 예약
관광지 안내","여행지 추천,숙소 예약,관광지 안내","Travel plan consultation

Recommendation of travel destination
Accommodation reservation
Tourist attraction guidance","Recommendation of travel destination, accommodation reservation, tourist attraction guidance"
"보호조치 및 진료예약 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보호조치,상담녹음,진료예약","Protection measures and medical appointment consultation

Request for customer protection measures
Counseling recording guidance
Appointment and inquiry for medical treatment","Protection measures, counseling recording, medical appointment"
"압구정 로데오에서의 친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수","Dinner with friends at Apgujeong Rodeo

Apgujeong Rodeo
Saju Cafe
Friday evening","Saju Cafe, 50,000 won, reservation required"
"건강 상담

감기 증상
약 복용 방법
건강 관리 방법","감기,약 복용,건강 관리","Health consultation

Cold symptoms
Medication intake method
Health management method","Cold, medication intake, health management"
"건강 상담

식이 요법
운동 방법
건강 관리 방법","식이 요법,운동,건강 관리","Health counseling

Dietary regimen
Exercise methods
Health management methods","Dietary regimen, exercise, health management"
"상담 전화에서의 다양한 대화

상담 요청
상담 내용
상담 결과","상담 요청,상담 내용,상담 결과","Various conversations on the counseling phone

Counseling request
Counseling content
Counseling result","Counseling request, Counseling content, Counseling result"
"의사와의 진료 상담

진단 결과 안내
치료 방법 설명
약 처방","진단 결과,치료 방법,약 처방","Consultation with a doctor

Diagnosis result notification
Explanation of treatment methods
Prescription","Diagnosis result, treatment method, prescription"
"상담 전화에서의 다양한 대화

상담 내용 안내
문의 사항 상담
상담 종료","상담 내용,문의 사항,상담 종료","Various conversations on the counseling phone

Counseling content guidance
Counseling inquiries
Counseling end","Counseling content, inquiries, counseling end"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,문의 사항,요청 사항","Various conversations on the counseling phone

Counseling Content 1
Counseling Content 2
Counseling Content 3","Counseling Content, Inquiry, Request"
"회사 프로젝트 회의

프로젝트 일정 조정
프로젝트 진행 상황 보고
다음 회의 일정 조정","프로젝트 일정,진행 상황 보고,회의 일정 조정","Company project meeting

Adjust project schedule
Report on project progress
Adjust next meeting schedule","Project schedule, progress report, meeting schedule adjustment"
"은행 상담

대출 상담
이자율 문의
상환 기간 조정","대출 상담,이자율 문의,상환 기간 조정","Bank consultation

Loan consultation
Interest rate inquiry
Adjustment of repayment period","Loan consultation, interest rate inquiry, adjustment of repayment period"
"보험 가입 상담

보험 상품 안내
보장 내용 설명
보험료 계산","보험 상품,보장 내용,보험료 계산","Insurance enrollment consultation

Insurance product guidance
Explanation of coverage
Insurance premium calculation","Insurance product, coverage, insurance premium calculation"
"의료 서비스 만족도 피드백

진료 만족도 조사
의사 친절도 평가
의료 서비스 만족도 평가","진료 만족도,의사 친절도,의료 서비스 만족도","Medical Service Satisfaction Feedback

Clinical Satisfaction Survey
Doctor Kindness Evaluation
Medical Service Satisfaction Evaluation","Clinical Satisfaction, Doctor Kindness, Medical Service Satisfaction"
"보험 가입 상담

보험 상품 설명
보험 가입 방법 안내
보험 요금 계산","보험 상품,보험 가입 방법,보험 요금","Insurance enrollment consultation

Explanation of insurance products
Guidance on insurance enrollment methods
Calculation of insurance premiums","Insurance products, insurance enrollment methods, insurance premiums"
"운동 동호회 모임

운동 종목 선정
모임 일정 조율
장소 예약","운동 종목,모임 일정,장소 예약","Sports club meeting

Selecting sports
Adjusting meeting schedule
Reserving a place","Sports, meeting schedule, place reservation"
"피트니스 트레이너와 건강 팁 공유

운동 계획 공유
식단 조언
건강 관련 질문","운동 계획,식단 조언,건강 질문","Sharing fitness trainer and health tips

Sharing exercise plan
Diet advice
Health related questions","Exercise plan, diet advice, health questions"
"피트니스 트레이너와 건강 팁 공유

운동 계획 수정
식단 조언
건강 관련 질문","운동 계획,식단 조언,건강 질문","Sharing fitness trainer and health tips

Modifying exercise plan
Dietary advice
Health related questions","Exercise plan, dietary advice, health questions"
"피트니스 트레이너와 건강 팁 공유

운동 계획 확인
식단 조언
건강 관련 질문","운동 계획,식단 조언,건강 질문","Sharing health tips with a fitness trainer

Checking exercise plan
Dietary advice
Health related questions","Exercise plan, dietary advice, health questions"
"피트니스 트레이너와 건강 팁 공유

운동 계획 변경
식단 조언
건강 관련 질문","운동 계획,식단 조언,건강 질문","Sharing fitness trainer and health tips

Changing exercise plan
Dietary advice
Health related questions","Exercise plan, dietary advice, health questions"
"피트니스 트레이너와 건강 팁 공유

운동 계획 새로 작성
식단 조언
건강 관련 질문","운동 계획,식단 조언,건강 질문","Sharing health tips with a fitness trainer

Write a new exercise plan
Dietary advice
Health-related questions","Exercise plan, dietary advice, health questions"
"회사 회의

3월 예산 검토
신입사원 교육 일정
4월 프로모션 계획","예산 검토,신입사원 교육,프로모션 계획","Company meeting

Review of March budget
Schedule for new employee training
Promotion plan for April","Budget review, New employee training, Promotion plan"
"여행 계획

일본 여행
도쿄, 오사카, 교토
호텔 예약","일본 여행,도쿄,호텔 예약","Travel plan

Trip to Japan
Tokyo, Osaka, Kyoto
Hotel reservation","Trip to Japan, Tokyo, Hotel reservation"
"영화 추천

어벤져스: 엔드게임
조커
기생충","어벤져스: 엔드게임,조커,기생충","Movie recommendation

Avengers: Endgame
Joker
Parasite","Avengers: Endgame, Joker, Parasite"
"주식 투자 상담

주식 종목 추천
투자 전략 상담","주식 종목,투자 전략","Stock Investment Consultation

Stock Item Recommendation
Investment Strategy Consultation","Stock Item, Investment Strategy"
"음식 배달 주문

치킨 한마리
콜라 한병","치킨,음식 배달","Food delivery order

One chicken
One bottle of cola","Chicken, food delivery"
"여행 계획 상담

여행 일정 조율
숙소 예약 상담","여행 일정,숙소 예약","Travel plan consultation

Adjusting travel schedule
Accommodation reservation consultation","Travel schedule, accommodation reservation"
"회사 업무 상담

신제품 출시 계획
마케팅 전략
예산 계획","신제품 출시,마케팅 전략,예산 계획","Business consultation for company

New product launch plan
Marketing strategy
Budget plan","New product launch, marketing strategy, budget plan"
"여행 계획 상담

여행 일정
숙소 예약
관광지 추천","여행 일정,숙소 예약,관광지 추천","Travel plan consultation

Travel schedule
Accommodation reservation
Attraction recommendation","Travel schedule, accommodation reservation, attraction recommendation"
"식당 예약

저녁 7시 예약
4명 예약","식당 예약,저녁 7시,4명 예약","Restaurant reservation

Reservation at 7pm
Reservation for 4 people","Restaurant reservation, 7pm, reservation for 4 people"
"치과병원 상담 전화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약","Dental hospital consultation call

Request for customer protection measures
Counseling recording guidance
Reservation and inquiry for treatment","Customer protection measures, counseling recording, treatment reservation"
"회사 회의

Q1 실적 발표
Q2 마케팅 전략 논의
Q3 인사 이슈 상의","실적 발표,마케팅 전략,인사 이슈","Company meeting

Q1 Presentation of results
Q2 Discussion of marketing strategy
Q3 Discussion of personnel issues","Presentation of results, marketing strategy, personnel issues"
"부동산 중개사와의 상담

아파트 매매 문의
매물 확인 요청
가격 협상","아파트 매매,매물 확인,가격 협상","Consultation with a real estate agent

Inquiry about apartment sale
Request to check the property
Price negotiation","Apartment sale, property confirmation, price negotiation"
"보험 상담

보험 가입 문의
보험 상품 안내
보험 가입 신청","보험 가입,보험 상품,보험 가입 신청","Insurance consultation

Inquiry about insurance enrollment
Insurance product guidance
Insurance enrollment application","Insurance enrollment, insurance product, insurance enrollment application"
"비즈니스 미팅

신제품 출시 계획
마케팅 전략 논의
예산 결정","신제품 출시,마케팅 전략,예산 결정","Business Meeting

New product launch plan
Discuss marketing strategy
Budget decision","New product launch, marketing strategy, budget decision"
"예약 확인

3월 30일 2시 예약 확인",호텔 예약,"Confirm reservation

Confirm reservation on March 30th at 2 o'clock",Hotel reservation
"운동 계획

웨이트 트레이닝
유산소 운동
식단 조절","웨이트 트레이닝,유산소 운동,식단 조절","Exercise plan

Weight training
Aerobic exercise
Diet adjustment","Weight training, Aerobic exercise, Diet adjustment"
"비즈니스 회의

매출 보고서
신규 프로젝트 발표
마케팅 전략 논의","매출,프로젝트,마케팅","Business Meeting

Sales Report
Presentation of New Project
Discussion of Marketing Strategy","Sales, Project, Marketing"
"광고 전화

신제품 출시 안내
할인 이벤트 안내","신제품,할인 이벤트","Advertisement call

New product launch announcement
Discount event announcement","New product, discount event"
"사용 설명서 문의

제품 사용 방법
고장 신고 방법","제품 사용 방법,고장 신고","Inquiry about user manual

Product usage
Fault reporting method","Product usage, Fault reporting"
"회사 프로젝트 회의

프로젝트 일정 조율
업무 분담
다음 회의 일정","프로젝트 일정,업무 분담,회의 일정","Company project meeting

Adjusting project schedule
Task allocation
Next meeting schedule","Project schedule, task allocation, meeting schedule"
"주말 계획 상담

영화 보기
맛집 탐방
산책하기","영화,맛집,산책","Consultation on weekend plans

Watch a movie
Explore restaurants
Go for a walk","Movie, restaurant, walk"
"부동산 중개인과의 통화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약","Conversation with a real estate agent

Request for customer protection measures
Counseling recording guidance
Reservation and inquiry for treatment","Customer protection measures, counseling recording, reservation for treatment"
"부동산 검색에 대한 통화

지역, 가격, 크기 등 검색 조건 상세히 논의","지역 검색,가격 검색,크기 검색","Phone call about real estate search

Discuss search conditions such as location, price, size in detail","Location search, Price search, Size search"
"친구와의 저녁 약속

압구정 로데오
사주카페
금요일 저녁","압구정 로데오,사주카페,5만원","Dinner with friends

Apgujeong Rodeo
Saju Cafe
Friday evening","Apgujeong Rodeo, Saju Cafe, 50,000 won"
"친구의 추천 상품 구매

친구가 추천한 제품 구매","제품 추천,구매","Buying a product recommended by a friend

Buying a product recommended by a friend","Product recommendation, purchase"
"보험 가입 상담

보험 가입 상담","보험 가입,보장 내용","Insurance enrollment consultation

Insurance enrollment consultation","Insurance enrollment, coverage contents"
"부동산 중개인과 집 가격 논의

집 가격 상담","부동산 가격,상담","Discussing house prices with a real estate agent

House price consultation","Real estate price, consultation"
"부동산 중개인과 집 구매 계약

계약서 작성","부동산 계약,금액 협의","Real estate broker and house purchase contract

Writing a contract","Real estate contract, price negotiation"
"부동산 중개인과 방문 일정

방문 일정 조율","방문 일정,조율","Meeting with a real estate agent

Schedule a visit","Visit schedule, adjust"
"부동산 중개인과 방문 후 상담

방문 후 상담",방문 후 상담,"Visit and consult with a real estate agent

Visit and consult",Visit and consult
"부동산 중개인과 문의

문의 사항",문의 사항,"Inquiring with a real estate agent

Inquiries",Inquiries
"부동산 중개인와 부동산 시장 동향 상담

부동산 시장 동향 상담","부동산 시장 동향,부동산 가격 상승","Consulting with a real estate agent and real estate market trends

Real estate market trend consultation","Real estate market trends, real estate price increase"
"부동산 중개인와 부동산 시장 동향 상담

부동산 시장 동향 상담","부동산 시장 동향,부동산 가격 상승,부동산 투자 전략","Consulting with a real estate agent and real estate market trends

Real estate market trend consultation","Real estate market trends, real estate price increases, real estate investment strategies"
"부동산 중개인와 부동산 시장 동향 상담

부동산 시장 동향 상담","부동산 시장 동향,부동산 가격 상승,부동산 투자 전략,부동산 법률","Consulting with a real estate agent and real estate market trends

Real estate market trend consultation","Real estate market trends, real estate price increases, real estate investment strategies, real estate laws"
"부동산 중개인와 부동산 계약 절차 안내

계약서 작성 방법 안내
중개 수수료 안내
보증금 및 월세 결제 방법 안내","부동산 계약,중개 수수료,보증금 결제,월세 결제","Real estate agent and real estate contract procedure guidance

Guidance on how to write a contract
Guidance on brokerage fees
Guidance on payment of security deposit and monthly rent","Real estate contract, brokerage fee, security deposit payment, monthly rent payment"
"부동산 중개인와 부동산 계약 절차 안내

보증금 및 월세 결제 방법 안내
계약서 작성 방법 안내","보증금 결제,월세 결제,계약서 작성","Real estate agent and real estate contract procedure guidance

Guidance on payment methods for security deposit and monthly rent
Guidance on how to write a contract","Payment of security deposit, payment of monthly rent, writing of contract"
"부동산 중개인와 부동산 계약 절차 안내

중개 수수료 안내
보증금 및 월세 결제 방법 안내","중개 수수료,보증금 결제,월세 결제","Real estate agent and real estate contract procedure guidance

Brokerage fee guidance
Deposit and monthly rent payment method guidance","Brokerage fee payment, deposit payment, monthly rent payment"
"부동산 중개인와 부동산 계약 절차 안내

계약서 작성 방법 안내",계약서 작성,"Real estate agent and real estate contract procedure guidance

Guidance on how to write a contract",Writing a contract
"부동산 중개인와 부동산 계약 절차 안내

보증금 및 월세 결제 방법 안내","보증금 결제,월세 결제","Real estate agent and real estate contract procedure guidance

Guidance on payment methods for security deposit and monthly rent","Security deposit payment, monthly rent payment"
"부동산 문제 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약","Real estate problem consultation

Request for customer protection measures
Counseling recording guidance
Reservation and inquiry for treatment","Customer protection measures, counseling recording, treatment reservation"
"부동산 문제 상담

임대료 인상 문제
계약 갱신 문제
보증금 반환 문제","임대료 인상,계약 갱신,보증금 반환","Real estate problem consultation

Rent increase problem
Contract renewal problem
Deposit return problem","Rent increase, contract renewal, deposit return"
"부동산 문제 상담

건물 시설물 고장 문제
수리 비용 분담 문제
임대료 인상 문제","건물 시설물 고장,수리 비용 분담,임대료 인상","Real estate problem consultation

Building facilities breakdown problem
Repair cost sharing problem
Rent increase problem","Building facilities breakdown, repair cost sharing, rent increase"
"부동산 문제 상담

임대료 인상 문제
계약 갱신 문제
보증금 반환 문제
건물 시설물 고장 문제
수리 비용 분담 문제","임대료 인상,계약 갱신,보증금 반환,건물 시설물 고장,수리 비용 분담","Real estate problem consultation

Rent increase problem
Contract renewal problem
Deposit return problem
Building facility breakdown problem
Repair cost sharing problem","Rent increase, contract renewal, deposit return, building facility breakdown, repair cost sharing"
"친구와 대화

취미 생활 이야기
여행 계획 이야기
좋아하는 음식 이야기","취미 생활,여행 계획,음식","Conversation with friends

Talking about hobbies
Talking about travel plans
Talking about favorite food","Hobbies, travel plans, food"
"부동산 중개인와 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약","Consultation with a real estate agent

Request for customer protection measures
Counseling recording guidance
Reservation and inquiry for treatment","Customer protection measures, counseling recording, treatment reservation"
"부동산 관련 법률 상담

임대차 계약서 작성
보증금 반환 문제
임대료 인상 문제","임대차 계약서,보증금 반환,임대료 인상","Real estate related legal consultation

Drafting a lease agreement
Deposit refund issue
Rent increase issue","Lease agreement, deposit refund, rent increase"
"부동산 중개인와 상담

매물 정보 문의
방문 일정 조율","매물 정보,방문 일정","Consultation with a real estate agent

Inquiry about property information
Adjustment of visit schedule","Property information, visit schedule"
"택시 기사와 목적지 안내

서울역에서 강남구청으로 가는 길 안내","목적지 안내,길 안내","Taxi driver and destination guidance

Guidance on the way from Seoul Station to Gangnam-gu Office","Destination guidance, route guidance"
"택시 기사와 목적지 안내

강남구청에서 삼성동으로 가는 길 안내","목적지 안내,길 안내","Taxi driver and destination guidance

Guidance from Gangnam-gu Office to Samsung-dong","Destination guidance, route guidance"
"택시 기사와 목적지 안내

강남구청에서 코엑스로 가는 길 안내","목적지 안내,길 안내","Taxi driver and destination guidance

Guidance from Gangnam-gu Office to COEX","Destination guidance, route guidance"
"택시 기사와 목적지 안내

강남구청에서 강남역으로 가는 길 안내","목적지 안내,길 안내","Taxi driver and destination guidance

Guidance from Gangnam-gu Office to Gangnam Station","Destination guidance, route guidance"
"택시 기사와 목적지 안내

강남구청에서 서초구청으로 가는 길 안내","목적지 안내,길 안내","Taxi driver and destination guidance

Guidance on the way from Gangnam-gu Office to Seocho-gu Office","Destination guidance, route guidance"
"택시 도착 예상 시간 문의

택시 기사와 도착 예상 시간 문의","도착 예상 시간,택시 기사","Inquiry about expected arrival time of taxi

Inquiry about expected arrival time of taxi with taxi driver","Expected arrival time, taxi driver"
"택시 예약

택시 예약하기",택시 예약,"Booking a taxi

Book a taxi",Booking a taxi
"식당 예약

식당 예약하기",식당 예약,"Restaurant reservation

Reserve a restaurant",Restaurant reservation
"광고 전화

광고 전화",광고,"Telemarketing

Telemarketing",Advertising
"사무실 이전 문의

사무실 이전 문의",사무실 이전,"Inquiries about office relocation

Inquiries about office relocation",Office relocation
"택시 기사와 도로 상황 문의

도로 혼잡 상황 문의","도로 혼잡,우회 경로,차량 통제","Inquiring the taxi driver and road situation

Inquiring about the road congestion","Road congestion, detour route, vehicle control"
"택시 기사와 도로 상황 문의

도로 공사로 인한 차량 통제 문의","도로 공사,차량 통제,도로 혼잡","Inquiring the taxi driver and road situation

Inquiry about vehicle control due to road construction","Road construction, vehicle control, road congestion"
"택시 기사와 도로 상황 문의

도로 혼잡 상황 문의","도로 혼잡,우회 경로","Inquiring the taxi driver and road situation

Inquiring about the road congestion","Road congestion, detour route"
"택시 기사와 도로 상황 문의

도로 공사로 인한 차량 통제 문의","도로 공사,차량 통제,도로 혼잡,우회 경로","Inquiring the taxi driver and road situation

Inquiry about vehicle control due to road construction","Road construction, vehicle control, road congestion, detour route"
"택시 기사와 도로 상황 문의

도로 혼잡 상황 문의",도로 혼잡,"Inquiring the taxi driver and the road situation

Inquiring about the road congestion",Road congestion
"부동산 중개사와의 계약 조건 논의

매매가격 협상
보증금 및 중도금 지불일
계약서 작성 및 서명","매매가격,보증금,중도금","Discussing the contract conditions with a real estate agent

Negotiating the sale price
Payment date for the deposit and down payment
Writing and signing the contract","Sale price, deposit, down payment"
"부모님과의 가족회의

부모님 건강 상태
재산 분배 계획
유산 상속 관련 법률","건강,재산분배,유산상속","Family meeting with parents

Parents' health condition
Property distribution plan
Inheritance related laws","Health, property distribution, inheritance"
"프로젝트 회의

진행 상황 보고
문제점 해결 방안 논의
다음 단계 계획 수립","진행상황,문제점,계획수립","Project meeting

Report on progress
Discuss solutions to problems
Establish plans for next steps","Progress, Problems, Plan Establishment"
"회사 프로젝트 회의

프로젝트 일정 조율
업무 분담 계획
회의 장소 변경","프로젝트 일정,업무 분담,회의 장소","Company project meeting

Adjusting project schedule
Task allocation plan
Change meeting place","Project schedule, task allocation, meeting place"
"부동산 중개사와의 상담

매물 검색 조건
방문 일정 조율
가격 협상","매물 검색,방문 일정,가격 협상","Consultation with a real estate agent

Search criteria for properties
Adjustment of visit schedule
Price negotiation","Property search, visit schedule, price negotiation"
