doc,tags
"친구와 영화 추천

최신 영화 추천 및 감상 후기","영화 추천,영화 감상 후기,영화 예매 방법,영화 할인 정보"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"제품 문의

제품 사용 방법 문의
제품 교환 요청","제품 사용 방법,제품 교환"
"광고 전화

신제품 출시 안내
할인 이벤트 안내
추가 혜택 안내","신제품 출시,할인 이벤트,추가 혜택"
"교육 안내

교육 일정 안내
교육 내용 안내
교육 신청 방법 안내","교육 일정,교육 내용,교육 신청 방법"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,상담 내용2,상담 내용3"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,상담 내용2,상담 내용3"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,상담 내용2,상담 내용3"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,상담 내용2"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,상담 내용2"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,상담 내용2"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"비즈니스 전화에서의 다양한 대화

제품 문의
가격 협상
배송 문의","제품 문의,가격 협상,배송 문의,제품 사양 확인,가격 비교,배송 일정 확인"
"상담 전화에서의 다양한 대화

고객 불만 처리
상담 녹음 안내
진료 예약 및 문의","고객 불만 처리,상담 녹음 안내,진료 예약 및 문의"
"광고 전화에서의 다양한 대화

신제품 출시 안내
할인 이벤트 안내
구매 방법 안내","신제품 출시 안내,할인 이벤트 안내,구매 방법 안내"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상품 문의

상품 가격 문의
배송 일정 확인","상품 가격,배송 일정"
"고객 불만 상담

상품 불만 제기
환불 요청","상품 불만,환불 요청"
"회의

프로젝트 진행 상황 보고
다음 단계 계획 수립","프로젝트 진행 상황,다음 단계 계획"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","보험 가입,보험 상담,보험 청구"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상품 문의,배송 문의,환불 문의"
"친구와 영화 예매

영화 제목: 어벤져스
상영 시간: 3시
상영관: 5관","영화 예매,어벤져스,상영 시간"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사에서의 업무통화

프로젝트 진행 상황 보고
다음 회의 일정 조율
업무 분담","프로젝트,회의,업무분담"
"부동산 중개사와의 통화

아파트 매매 문의
매물 정보 제공
가격 협상","아파트 매매,매물 정보,가격 협상"
"광고 전화

신용카드 발급 광고",신용카드 발급
"치과병원 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 회의

Q1 실적 발표
Q2 계획 논의
Q3 인사 이슈","실적 발표,계획 논의,인사 이슈"
"상담 전화

상담 내용은 비공개",비공개
"영화 예매

어벤져스: 엔드게임
4DX
4월 30일 19시 30분
2명","어벤져스: 엔드게임,4DX,영화 예매"
"치과 예약 및 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"압구정 로데오에서 친구와 저녁약속

사주카페에서 만나기로 함
예약 필수
예산은 5만원","사주카페,예약 필수,예산 5만원"
"가족과 주말 계획 논의

휴식과 산책을 계획함
식사는 집에서 해결하기로 함","휴식,산책,집에서 식사"
"회사 프로젝트 회의

프로젝트 일정과 역할 분담 논의","프로젝트 일정,역할 분담"
"영어 회화 수업

영어 회화 수업 예약 및 수업 내용 논의","영어 회화 수업 예약,수업 내용 논의"
"치과 예약 및 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약 필수"
"가족 선물 아이디어 논의

아빠 생일 선물
엄마 생일 선물
동생 취미 선물","생일 선물,취미 선물"
"회사 프로젝트 미팅

프로젝트 진행 상황 보고
다음 단계 계획 수립
팀원 역할 분담","프로젝트 진행,다음 계획,팀원 역할"
"영어 회화 수업

일상 대화 연습
문법 학습","일상 대화,문법 학습"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,고객 서비스,문의 사항"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,진료 예약,보험 청구"
"친구와 저녁약속

맛집 추천
예약 방법
금요일 저녁","맛집 추천,예약 방법,음식 종류"
"치과 예약 및 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"압구정 로데오에서 친구와 저녁약속

사주카페에서 만나기로 함
예약 필수
비용은 5만원 이내로","사주카페,예약 필수,5만원"
"가족과의 여행 계획

가족과 함께 여행을 가기로 함
일정은 5월 1일부터 5월 5일까지
여행지는 제주도로 결정
숙소는 에어비앤비로 예약할 예정","가족 여행,제주도,숙소 예약"
"영어 회화 수업

영어 회화 수업 예약
매주 월요일 7시부터 8시까지
강사는 미국인으로 영어만 사용","영어 회화,수업 예약,미국인 강사"
"친구의 생일 파티

친구의 생일 파티
장소는 카페로 결정
날짜는 4월 15일
시간은 오후 3시부터 5시까지","생일 파티,카페,날짜"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"은행 상담

적금 상품 문의
대출 상품 문의","적금,대출"
"여행사 상담

해외여행 상품 문의
항공권 예약 문의","해외여행,항공권"
"보험 상담

보험 상품 문의
보험 가입 문의","보험,보험가입"
"은행 월급 이체 확인

월급이 제 시간에 입금되었는지 확인","은행,월급,이체"
"은행 보안문제 상담

계좌 보안문제 해결 방법 상담","은행,보안문제,상담"
"은행 대출 상담

대출 상환 방법 상담","은행,대출,상환"
"예약 확인

예약이 제대로 되었는지 확인","호텔,예약,확인"
"예약 취소

예약 취소 방법 상담","호텔,예약,취소"
"은행과 보험 문의

은행 보호조치 요청
보험 상담 녹음 안내
보험 가입 및 문의","은행 보호조치,보험 상담 녹음,보험 가입"
"은행과 보험 문의

은행 보호조치 요청
보험 상담 녹음 안내
보험 가입 및 문의","은행 보호조치,보험 상담 녹음,보험 가입"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"은행 보호조치 및 진료예약 문의

은행 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","은행 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"신용카드 결제 내역 확인

최근 결제 내역 확인
카드 한도 조정 문의","신용카드 결제 내역,카드 한도 조정"
"영화 예매 및 취소

영화 예매
영화 취소
영화 추천","영화 예매,영화 취소,영화 추천"
"여행 계획

여행 일정
숙소 예약
항공권 예매","여행 일정,숙소 예약,항공권 예매"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사에서의 업무통화

프로젝트 진행 상황 보고
다음 회의 일정 조율
업무 분담","프로젝트,회의,업무분담"
"의사와의 진료 상담

증상 상세 설명
진단 결과 안내
약 처방","진료,증상,약 처방"
"광고 전화

신제품 소개
할인 이벤트 안내
구매 유도","신제품,할인 이벤트,구매 유도"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 프로젝트 회의

프로젝트 일정 조율
업무 분담
회의록 작성","프로젝트 일정,업무 분담,회의록 작성"
"주식 투자 상담

주식 종목 추천
투자 전략 안내
수익률 예측","주식 종목 추천,투자 전략 안내,수익률 예측"
"여행 계획 상담

여행지 추천
숙소 예약
관광지 안내","여행지 추천,숙소 예약,관광지 안내"
"보호조치 및 진료예약 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보호조치,상담녹음,진료예약"
"압구정 로데오에서의 친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"건강 상담

감기 증상
약 복용 방법
건강 관리 방법","감기,약 복용,건강 관리"
"건강 상담

식이 요법
운동 방법
건강 관리 방법","식이 요법,운동,건강 관리"
"상담 전화에서의 다양한 대화

상담 요청
상담 내용
상담 결과","상담 요청,상담 내용,상담 결과"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 업무 상담

프로젝트 진행 상황 보고
다음 회의 일정 조율
업무 분담","프로젝트 진행,회의 일정,업무 분담"
"의사와의 진료 상담

진단 결과 안내
치료 방법 설명
약 처방","진단 결과,치료 방법,약 처방"
"상담 전화에서의 다양한 대화

상담 내용 안내
문의 사항 상담
상담 종료","상담 내용,문의 사항,상담 종료"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,문의 사항,요청 사항"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,문의 사항,요청 사항"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용,문의 사항,요청 사항"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 프로젝트 회의

프로젝트 일정 조정
프로젝트 진행 상황 보고
다음 회의 일정 조정","프로젝트 일정,진행 상황 보고,회의 일정 조정"
"은행 상담

대출 상담
이자율 문의
상환 기간 조정","대출 상담,이자율 문의,상환 기간 조정"
"보험 가입 상담

보험 상품 안내
보장 내용 설명
보험료 계산","보험 상품,보장 내용,보험료 계산"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"의료 서비스 만족도 피드백

진료 만족도 조사
의사 친절도 평가
의료 서비스 만족도 평가","진료 만족도,의사 친절도,의료 서비스 만족도"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"의료 서비스 만족도 피드백

진료 만족도 조사
의사 친절도 평가
의료 서비스 만족도 평가","진료 만족도,의사 친절도,의료 서비스 만족도"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 프로젝트 회의

프로젝트 진행 상황 보고
다음 회의 일정 조율
업무 분담","프로젝트 진행,회의 일정,업무 분담"
"보험 가입 상담

보험 상품 설명
보험 가입 방법 안내
보험 요금 계산","보험 상품,보험 가입 방법,보험 요금"
"운동 동호회 모임

운동 종목 선정
모임 일정 조율
장소 예약","운동 종목,모임 일정,장소 예약"
"피트니스 트레이너와 건강 팁 공유

운동 계획 공유
식단 조언
건강 관련 질문","운동 계획,식단 조언,건강 질문"
"피트니스 트레이너와 건강 팁 공유

운동 계획 수정
식단 조언
건강 관련 질문","운동 계획,식단 조언,건강 질문"
"피트니스 트레이너와 건강 팁 공유

운동 계획 확인
식단 조언
건강 관련 질문","운동 계획,식단 조언,건강 질문"
"피트니스 트레이너와 건강 팁 공유

운동 계획 변경
식단 조언
건강 관련 질문","운동 계획,식단 조언,건강 질문"
"피트니스 트레이너와 건강 팁 공유

운동 계획 새로 작성
식단 조언
건강 관련 질문","운동 계획,식단 조언,건강 질문"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 회의

3월 예산 검토
신입사원 교육 일정
4월 프로모션 계획","예산 검토,신입사원 교육,프로모션 계획"
"여행 계획

일본 여행
도쿄, 오사카, 교토
호텔 예약","일본 여행,도쿄,호텔 예약"
"영화 추천

어벤져스: 엔드게임
조커
기생충","어벤져스: 엔드게임,조커,기생충"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"주식 투자 상담

주식 종목 추천
투자 전략 상담","주식 종목,투자 전략"
"음식 배달 주문

치킨 한마리
콜라 한병","치킨,음식 배달"
"여행 계획 상담

여행 일정 조율
숙소 예약 상담","여행 일정,숙소 예약"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 업무 상담

신제품 출시 계획
마케팅 전략
예산 계획","신제품 출시,마케팅 전략,예산 계획"
"여행 계획 상담

여행 일정
숙소 예약
관광지 추천","여행 일정,숙소 예약,관광지 추천"
"식당 예약

저녁 7시 예약
4명 예약","식당 예약,저녁 7시,4명 예약"
"치과병원 상담 전화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 회의

Q1 실적 발표
Q2 마케팅 전략 논의
Q3 인사 이슈 상의","실적 발표,마케팅 전략,인사 이슈"
"부동산 중개사와의 상담

아파트 매매 문의
매물 확인 요청
가격 협상","아파트 매매,매물 확인,가격 협상"
"보험 상담

보험 가입 문의
보험 상품 안내
보험 가입 신청","보험 가입,보험 상품,보험 가입 신청"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"비즈니스 미팅

신제품 출시 계획
마케팅 전략 논의
예산 결정","신제품 출시,마케팅 전략,예산 결정"
"예약 확인

3월 30일 2시 예약 확인",호텔 예약
"운동 계획

웨이트 트레이닝
유산소 운동
식단 조절","웨이트 트레이닝,유산소 운동,식단 조절"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"비즈니스 회의

매출 보고서
신규 프로젝트 발표
마케팅 전략 논의","매출,프로젝트,마케팅"
"광고 전화

신제품 출시 안내
할인 이벤트 안내","신제품,할인 이벤트"
"사용 설명서 문의

제품 사용 방법
고장 신고 방법","제품 사용 방법,고장 신고"
"고객 보호조치 요청 및 진료 예약 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"압구정 로데오에서의 친구와 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수"
"회사 프로젝트 회의

프로젝트 일정 조율
업무 분담
다음 회의 일정","프로젝트 일정,업무 분담,회의 일정"
"주말 계획 상담

영화 보기
맛집 탐방
산책하기","영화,맛집,산책"
"여행 계획 상담

여행 일정 조율
숙소 예약
관광지 추천","여행 일정,숙소 예약,관광지 추천"
"부동산 중개인과의 통화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"부동산 검색에 대한 통화

지역, 가격, 크기 등 검색 조건 상세히 논의","지역 검색,가격 검색,크기 검색"
"친구와의 저녁 약속

압구정 로데오
사주카페
금요일 저녁","압구정 로데오,사주카페,5만원"
"친구의 추천 상품 구매

친구가 추천한 제품 구매","제품 추천,구매"
"보험 가입 상담

보험 가입 상담","보험 가입,보장 내용"
"부동산 중개인과 집 가격 논의

집 가격 상담","부동산 가격,상담"
"부동산 중개인과 집 구매 계약

계약서 작성","부동산 계약,금액 협의"
"부동산 중개인과 방문 일정

방문 일정 조율","방문 일정,조율"
"부동산 중개인과 방문 후 상담

방문 후 상담",방문 후 상담
"부동산 중개인과 문의

문의 사항",문의 사항
"부동산 중개인와 부동산 시장 동향 상담

부동산 시장 동향 상담","부동산 시장 동향,부동산 가격 상승"
"부동산 중개인와 부동산 시장 동향 상담

부동산 시장 동향 상담","부동산 시장 동향,부동산 가격 상승"
"부동산 중개인와 부동산 시장 동향 상담

부동산 시장 동향 상담","부동산 시장 동향,부동산 가격 상승,부동산 투자 전략"
"부동산 중개인와 부동산 시장 동향 상담

부동산 시장 동향 상담","부동산 시장 동향,부동산 가격 상승,부동산 투자 전략,부동산 법률"
"부동산 중개인와 부동산 시장 동향 상담

부동산 시장 동향 상담","부동산 시장 동향,부동산 가격 상승"
"부동산 중개인와 부동산 계약 절차 안내

계약서 작성 방법 안내
중개 수수료 안내
보증금 및 월세 결제 방법 안내","부동산 계약,중개 수수료,보증금 결제,월세 결제"
"부동산 중개인와 부동산 계약 절차 안내

보증금 및 월세 결제 방법 안내
계약서 작성 방법 안내","보증금 결제,월세 결제,계약서 작성"
"부동산 중개인와 부동산 계약 절차 안내

중개 수수료 안내
보증금 및 월세 결제 방법 안내","중개 수수료,보증금 결제,월세 결제"
"부동산 중개인와 부동산 계약 절차 안내

계약서 작성 방법 안내",계약서 작성
"부동산 중개인와 부동산 계약 절차 안내

보증금 및 월세 결제 방법 안내","보증금 결제,월세 결제"
"부동산 문제 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"부동산 문제 상담

임대료 인상 문제
계약 갱신 문제
보증금 반환 문제","임대료 인상,계약 갱신,보증금 반환"
"부동산 문제 상담

건물 시설물 고장 문제
수리 비용 분담 문제
임대료 인상 문제","건물 시설물 고장,수리 비용 분담,임대료 인상"
"부동산 문제 상담

임대료 인상 문제
계약 갱신 문제
보증금 반환 문제
건물 시설물 고장 문제
수리 비용 분담 문제","임대료 인상,계약 갱신,보증금 반환,건물 시설물 고장,수리 비용 분담"
"친구와 대화

취미 생활 이야기
여행 계획 이야기
좋아하는 음식 이야기","취미 생활,여행 계획,음식"
"부동산 중개인와 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"부동산 관련 법률 상담

임대차 계약서 작성
보증금 반환 문제
임대료 인상 문제","임대차 계약서,보증금 반환,임대료 인상"
"부동산 중개인와 상담

매물 정보 문의
방문 일정 조율","매물 정보,방문 일정"
"부동산 관련 법률 상담

임대차 계약서 작성
보증금 반환 문제
임대료 인상 문제","임대차 계약서,보증금 반환,임대료 인상"
"부동산 중개인와 상담

매물 정보 문의
방문 일정 조율","매물 정보,방문 일정"
"택시 기사와 목적지 안내

서울역에서 강남구청으로 가는 길 안내","목적지 안내,길 안내"
"택시 기사와 목적지 안내

강남구청에서 삼성동으로 가는 길 안내","목적지 안내,길 안내"
"택시 기사와 목적지 안내

강남구청에서 코엑스로 가는 길 안내","목적지 안내,길 안내"
"택시 기사와 목적지 안내

강남구청에서 강남역으로 가는 길 안내","목적지 안내,길 안내"
"택시 기사와 목적지 안내

강남구청에서 서초구청으로 가는 길 안내","목적지 안내,길 안내"
"택시 도착 예상 시간 문의

택시 기사와 도착 예상 시간 문의","도착 예상 시간,택시 기사"
"택시 예약

택시 예약하기",택시 예약
"식당 예약

식당 예약하기",식당 예약
"광고 전화

광고 전화",광고
"사무실 이전 문의

사무실 이전 문의",사무실 이전
"택시 기사와 도로 상황 문의

도로 혼잡 상황 문의","도로 혼잡,우회 경로,차량 통제"
"택시 기사와 도로 상황 문의

도로 공사로 인한 차량 통제 문의","도로 공사,차량 통제,도로 혼잡"
"택시 기사와 도로 상황 문의

도로 혼잡 상황 문의","도로 혼잡,우회 경로"
"택시 기사와 도로 상황 문의

도로 공사로 인한 차량 통제 문의","도로 공사,차량 통제,도로 혼잡,우회 경로"
"택시 기사와 도로 상황 문의

도로 혼잡 상황 문의",도로 혼잡
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"부동산 중개사와의 계약 조건 논의

매매가격 협상
보증금 및 중도금 지불일
계약서 작성 및 서명","매매가격,보증금,중도금"
"부모님과의 가족회의

부모님 건강 상태
재산 분배 계획
유산 상속 관련 법률","건강,재산분배,유산상속"
"프로젝트 회의

진행 상황 보고
문제점 해결 방안 논의
다음 단계 계획 수립","진행상황,문제점,계획수립"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 프로젝트 회의

프로젝트 일정 조율
업무 분담 계획
회의 장소 변경","프로젝트 일정,업무 분담,회의 장소"
"부동산 중개사와의 상담

매물 검색 조건
방문 일정 조율
가격 협상","매물 검색,방문 일정,가격 협상"
"보험 상담

보험 상품 안내
보험 가입 방법
보험 가입 기간","보험 상품,보험 가입 방법,보험 가입 기간"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"중개 수수료 문의

중개 수수료가 얼마인가요?","중개 수수료,지불 방법"
"상담 전화

저희 아들이 학교에서 괴롭힘을 당하고 있어요.","학교 폭력,대처 방법,문의 방법"
"상담 전화

제가 이번에 이사를 하게 되었는데, 이사 준비물이 뭐가 있을까요?","이사 준비물,이사 유의사항,이사비용"
"부동산 시장 동향 문의

최근 부동산 시장 동향에 대해서 문의함","부동산 시장 동향,문의"
"부동산 시장 동향 문의

최근 부동산 시장 동향에 대해서 문의함","부동산 시장 동향,문의"
"부동산 시장 동향 문의

최근 부동산 시장 동향에 대해서 문의함","부동산 시장 동향,문의"
"부동산 시장 동향 문의

최근 부동산 시장 동향에 대해서 문의함","부동산 시장 동향,문의"
"부동산 시장 동향 문의

최근 부동산 시장 동향에 대해서 문의함","부동산 시장 동향,문의"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"부동산 법률 상담

부동산 계약서 작성 방법
임대차 계약서 작성 방법
보증금 반환 문제","부동산 계약서,임대차 계약서,보증금 반환"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보험금 청구,치아 교정,치아 추출"
"부동산 중개사 상담

매물 등록 방법
매물 홍보 방법
중개 수수료 문제","매물 등록,매물 홍보,중개 수수료"
"부동산 계약 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","부동산 계약,고객 보호조치,상담 녹음,진료 예약"
"부동산 계약 상담

계약서 작성 방법
보증금 및 중도금
계약서 작성 방법","부동산 계약,계약서 작성,보증금,중도금"
"부동산 계약 상담

계약서 작성 방법
보증금 및 중도금
계약서 작성 방법","부동산 계약,계약서 작성,보증금,중도금"
"친구와 약속

저녁 약속 장소
메뉴 추천
예약 방법","약속 장소,메뉴 추천,예약 방법"
"친구와 약속

저녁 약속 장소
메뉴 추천
예약 방법","약속 장소,메뉴 추천,예약 방법"
"치과 진료 예약 및 보호조치 요청

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용 1,상담 내용 2,상담 내용 3"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용 1,상담 내용 2,상담 내용 3"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용 1,상담 내용 2,상담 내용 3"
"치과 예약 조정

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약 필수"
"치과 예약 조정

진료 예약 및 문의
보험 적용 여부 확인","진료 예약,보험 적용"
"친구와 주말 계획

영화관 예매
맛집 추천","영화관 예매,맛집 추천"
"치과 예약 조정

진료 예약 및 문의
보험 적용 여부 확인","진료 예약,보험 적용"
"치과 의사와 치료 비용 문의

치과 의사와 치료 비용 문의","치료비용,진료예약"
"치과 예약 변경

치과 예약 변경",진료예약
"치과 예약 취소

치과 예약 취소",진료예약
"치과 예약 확인

치과 예약 확인",진료예약
"친구와 저녁약속

친구와 저녁약속","사주카페,5만원,예약필수"
"치과 예약 및 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
